# clock_trace bin2csv rows=4971 seqEnd=4971 dropped=0
seq,uptimeMs,utcEpoch,ppsCount,residualMs,holdoverMs,freqPpm,tempC,tempCorrPpm,qualityMs,state,ppsFresh,timeValid,tempComp,satellites
238,45918093,1789878635,45846,0,0,-9.7000,29.80,0.000,14,1,1,1,1,16
239,45919093,1789878636,45847,0,0,-9.7100,29.80,0.000,14,1,1,1,1,16
240,45920093,1789878637,45848,0,0,-10.0430,29.80,0.000,15,1,1,1,1,16
241,45921093,1789878638,45849,0,0,-9.9594,29.80,0.000,14,1,1,1,1,16
242,45922093,1789878639,45850,0,0,-9.9175,30.80,0.000,14,1,1,1,1,16
243,45923093,1789878640,45851,0,0,-9.8840,29.80,0.000,14,1,1,1,1,16
244,45924093,1789878641,45852,0,0,-9.8322,30.80,0.000,14,1,1,1,1,16
245,45925093,1789878642,45853,0,0,-9.7908,29.80,0.000,14,1,1,1,1,17
246,45926093,1789878643,45854,0,0,-9.7826,29.80,0.000,14,1,1,1,1,17
247,45927093,1789878644,45855,0,0,-9.7761,29.80,0.000,14,1,1,1,1,17
248,45928093,1789878645,45856,0,0,-9.7459,29.80,0.000,14,1,1,1,1,17
249,45929093,1789878646,45857,0,0,-9.7467,29.80,0.000,14,1,1,1,1,17
250,45930093,1789878647,45858,0,0,-9.7474,29.80,0.000,14,1,1,1,1,16
251,45931093,1789878648,45859,0,0,-9.7479,29.80,0.000,14,1,1,1,1,16
252,45932093,1789878649,45860,0,0,-9.7483,29.80,0.000,14,1,1,1,1,16
253,45933093,1789878650,45861,0,0,-9.7486,29.80,0.000,14,1,1,1,1,16
254,45934093,1789878651,45862,0,0,-9.7489,30.80,0.000,14,1,1,1,1,17
255,45935093,1789878652,45863,0,0,-9.7241,29.80,0.000,14,1,1,1,1,17
256,45936093,1789878653,45864,0,0,-9.7293,29.80,0.000,14,1,1,1,1,17
257,45937093,1789878654,45865,0,0,-9.7334,29.80,0.000,14,1,1,1,1,17
258,45938093,1789878655,45866,0,0,-9.7118,29.80,0.000,14,1,1,1,1,17
259,45939093,1789878656,45867,0,0,-9.6694,29.80,0.000,14,1,1,1,1,17
260,45940093,1789878657,45868,0,0,-9.6855,29.80,0.000,14,1,1,1,1,17
261,45941093,1789878658,45869,0,0,-9.6984,29.80,0.000,14,1,1,1,1,17
262,45942093,1789878659,45870,0,0,-9.6837,29.80,0.000,14,1,1,1,1,17
263,45943093,1789878660,45871,0,0,-9.6970,29.80,0.000,14,1,1,1,1,17
264,45944093,1789878661,45872,0,0,-9.7076,29.80,0.000,14,1,1,1,1,16
265,45945093,1789878662,45873,0,0,-9.7161,29.80,0.000,14,1,1,1,1,16
266,45946093,1789878663,45874,0,0,-9.7229,29.80,0.000,14,1,1,1,1,16
267,45947093,1789878664,45875,0,0,-9.7533,29.80,0.000,14,1,1,1,1,16
268,45948093,1789878665,45876,0,0,-9.7526,29.80,0.000,14,1,1,1,1,16
269,45949093,1789878666,45877,0,0,-9.7271,29.80,0.000,14,1,1,1,1,16
270,45950093,1789878667,45878,0,0,-9.7317,29.80,0.000,14,1,1,1,1,16
271,45951093,1789878668,45879,0,0,-9.7353,29.80,0.000,14,1,1,1,1,16
