# clock_trace bin2csv rows=1962 seqEnd=1962 dropped=0
seq,uptimeMs,utcEpoch,ppsCount,residualMs,holdoverMs,freqPpm,tempC,tempCorrPpm,qualityMs,state,ppsFresh,timeValid,tempComp,satellites
170,221291,1789969518,148,0,71550,-12.0211,42.80,-0.000,120,3,0,1,1,14
171,222291,1789969519,148,0,72550,-12.0211,42.80,-0.000,120,3,0,1,1,14
172,223292,1789969520,148,0,73551,-12.0211,42.80,-0.000,120,3,0,1,1,14
173,224293,1789969521,148,0,74552,-12.0211,42.80,-0.000,120,3,0,1,1,14
174,225293,1789969522,148,0,75552,-12.0211,42.80,-0.000,120,3,0,1,1,14
175,226294,1789969523,148,0,76553,-12.0211,42.80,-0.000,120,3,0,1,1,14
176,227294,1789969524,148,0,77553,-12.0211,42.80,-0.000,120,3,0,1,1,14
177,228294,1789969525,148,0,78553,-12.0211,42.80,-0.000,120,3,0,1,1,14
178,229294,1789969526,148,0,79553,-12.0211,42.80,-0.000,120,3,0,1,1,14
179,230295,1789969527,148,0,80554,-12.0211,42.80,-0.000,121,3,0,1,1,14
180,231295,1789969528,148,0,81554,-12.0211,42.80,-0.000,121,3,0,1,1,14
181,232295,1789969529,148,0,82554,-12.0211,43.80,-0.140,121,3,0,1,1,14
182,233296,1789969530,148,0,83555,-12.0211,42.80,-0.000,121,3,0,1,1,14
183,234296,1789969531,148,0,84555,-12.0211,42.80,-0.000,121,3,0,1,1,14
184,235297,1789969532,148,0,85556,-12.0211,42.80,-0.000,121,3,0,1,1,14
185,236299,1789969533,148,0,86558,-12.0211,42.80,-0.000,121,3,0,1,1,14
186,237299,1789969534,148,0,87558,-12.0211,42.80,-0.000,121,3,0,1,1,14
187,238299,1789969535,148,0,88558,-12.0211,42.80,-0.000,121,3,0,1,1,14
188,239299,1789969536,148,0,89558,-12.0211,42.80,-0.000,121,3,0,1,1,14
189,240301,1789969537,148,0,90560,-12.0211,42.80,-0.000,121,3,0,1,1,14
190,241301,1789969538,148,0,91560,-12.0211,42.80,-0.000,121,3,0,1,1,14
191,242303,1789969539,148,0,92562,-12.0211,43.80,-0.140,121,3,0,1,1,14
192,243304,1789969540,148,0,93563,-12.0211,42.80,-0.000,121,3,0,1,1,14
193,244304,1789969541,148,0,94563,-12.0211,42.80,-0.000,121,3,0,1,1,14
194,245306,1789969542,148,0,95565,-12.0211,42.80,-0.000,121,3,0,1,1,14
195,246306,1789969543,148,0,96565,-12.0211,42.80,-0.000,121,3,0,1,1,14
196,247307,1789969544,148,0,97566,-12.0211,42.80,-0.000,121,3,0,1,1,14
197,248307,1789969545,148,0,98566,-12.0211,42.80,-0.000,121,3,0,1,1,14
198,249309,1789969546,148,0,99568,-12.0211,42.80,-0.000,121,3,0,1,1,14
199,250309,1789969547,148,0,100568,-12.0211,42.80,-0.000,122,3,0,1,1,14
200,251311,1789969548,148,0,101569,-12.0211,42.80,-0.000,122,3,0,1,1,14
201,252311,1789969549,148,0,102570,-12.0211,42.80,-0.000,122,3,0,1,1,14
202,253312,1789969550,148,0,103571,-12.0211,43.80,-0.140,122,3,0,1,1,14
203,254313,1789969551,148,0,104572,-12.0211,42.80,-0.000,122,3,0,1,1,14
204,255314,1789969552,148,0,105573,-12.0211,42.80,-0.000,122,3,0,1,1,14
205,256314,1789969553,148,0,106573,-12.0211,42.80,-0.000,122,3,0,1,1,14
206,257314,1789969554,148,0,107573,-12.0211,42.80,-0.000,122,3,0,1,1,14
207,258316,1789969555,148,0,108575,-12.0211,42.80,-0.000,122,3,0,1,1,14
208,259318,1789969556,148,0,109577,-12.0211,42.80,-0.000,122,3,0,1,1,14
209,260319,1789969557,148,0,110577,-12.0211,42.80,-0.000,122,3,0,1,1,14
210,261319,1789969558,148,0,111578,-12.0211,42.80,-0.000,122,3,0,1,1,14
211,262320,1789969559,148,0,112579,-12.0211,42.80,-0.000,122,3,0,1,1,14
212,263320,1789969560,148,0,113579,-12.0211,42.80,-0.000,122,3,0,1,1,14
213,264321,1789969561,148,0,114580,-12.0211,42.80,-0.000,122,3,0,1,1,14
214,265321,1789969562,148,0,115580,-12.0211,42.80,-0.000,122,3,0,1,1,14
215,266322,1789969563,148,0,116581,-12.0211,42.80,-0.000,122,3,0,1,1,14
216,267323,1789969564,148,0,117582,-12.0211,42.80,-0.000,122,3,0,1,1,14
217,268323,1789969565,148,0,118581,-12.0211,42.80,-0.000,122,3,0,1,1,14
218,269323,1789969566,148,0,119582,-12.0211,42.80,-0.000,122,3,0,1,1,14
219,270324,1789969567,148,0,120583,-12.0211,42.80,-0.000,123,3,0,1,1,14
220,271325,1789969568,148,0,121584,-12.0211,42.80,-0.000,123,3,0,1,1,14
221,272326,1789969569,148,0,122585,-12.0211,42.80,-0.000,123,3,0,1,1,14
222,273327,1789969570,148,0,123585,-12.0211,42.80,-0.000,123,3,0,1,1,14
223,274329,1789969571,148,0,124587,-12.0211,42.80,-0.000,123,3,0,1,1,14
224,275329,1789969572,148,0,125588,-12.0211,42.80,-0.000,123,3,0,1,1,14
225,276329,1789969573,148,0,126587,-12.0211,42.80,-0.000,123,3,0,1,1,14
226,277329,1789969574,148,0,127588,-12.0211,42.80,-0.000,123,3,0,1,1,14
227,278331,1789969575,148,0,128590,-12.0211,42.80,-0.000,123,3,0,1,1,14
228,279331,1789969576,148,0,129590,-12.0211,42.80,-0.000,123,3,0,1,1,14
229,280332,1789969577,148,0,130591,-12.0211,42.80,-0.000,123,3,0,1,1,14
230,281332,1789969578,148,0,131591,-12.0211,42.80,-0.000,123,3,0,1,1,14
231,282333,1789969579,148,0,132592,-12.0211,42.80,-0.000,123,3,0,1,1,14
232,283333,1789969580,148,0,133592,-12.0211,42.80,-0.000,123,3,0,1,1,14
233,284333,1789969581,148,0,134592,-12.0211,42.80,-0.000,123,3,0,1,1,14
234,285333,1789969582,148,0,135592,-12.0211,42.80,-0.000,123,3,0,1,1,14
235,286333,1789969583,148,0,136591,-12.0211,42.80,-0.000,123,3,0,1,1,14
236,287335,1789969584,148,0,137594,-12.0211,42.80,-0.000,123,3,0,1,1,14
237,288335,1789969585,148,0,138594,-12.0211,42.80,-0.000,123,3,0,1,1,14
238,289337,1789969586,148,0,139596,-12.0211,42.80,-0.000,123,3,0,1,1,14
239,290337,1789969587,148,0,140596,-12.0211,42.80,-0.000,124,3,0,1,1,14
240,291337,1789969588,148,0,141596,-12.0211,42.80,-0.000,124,3,0,1,1,14
241,292337,1789969589,148,0,142596,-12.0211,42.80,-0.000,124,3,0,1,1,14
242,293337,1789969590,148,0,143596,-12.0211,42.80,-0.000,124,3,0,1,1,14
243,294337,1789969591,148,0,144596,-12.0211,42.80,-0.000,124,3,0,1,1,14
244,295337,1789969592,148,0,145596,-12.0211,42.80,-0.000,124,3,0,1,1,14
245,296337,1789969593,148,0,146595,-12.0211,42.80,-0.000,124,3,0,1,1,14
246,297338,1789969594,148,0,147597,-12.0211,42.80,-0.000,124,3,0,1,1,14
247,298339,1789969595,148,0,148598,-12.0211,42.80,-0.000,124,3,0,1,1,14
248,299340,1789969596,148,0,149599,-12.0211,42.80,-0.000,124,3,0,1,1,14
249,300342,1789969597,148,0,150601,-12.0211,42.80,-0.000,124,3,0,1,1,14
250,301343,1789969598,148,0,151602,-12.0211,42.80,-0.000,124,3,0,1,1,14
251,302344,1789969599,148,0,152603,-12.0211,42.80,-0.000,124,3,0,1,1,14
252,303344,1789969600,148,0,153603,-12.0211,42.80,-0.000,124,3,0,1,1,14
253,304344,1789969601,148,0,154603,-12.0211,42.80,-0.000,124,3,0,1,1,14
254,305345,1789969602,148,0,155604,-12.0211,42.80,-0.000,124,3,0,1,1,14
255,306345,1789969603,148,0,156604,-12.0211,42.80,-0.000,124,3,0,1,1,14
256,307345,1789969604,148,0,157603,-12.0211,42.80,-0.000,124,3,0,1,1,14
257,308346,1789969605,148,0,158605,-12.0211,42.80,-0.000,124,3,0,1,1,14
258,309347,1789969606,148,0,159606,-12.0211,42.80,-0.000,124,3,0,1,1,14
259,310347,1789969607,148,0,160606,-12.0211,42.80,-0.000,125,3,0,1,1,14
260,311347,1789969608,148,0,161606,-12.0211,42.80,-0.000,125,3,0,1,1,14
261,312347,1789969609,148,0,162606,-12.0211,42.80,-0.000,125,3,0,1,1,14
